,제목,가수,가사
70,The Astronaut,진,"You and me
끝나지 않을 history
Oh, 나의 우주가 돼 준
우리의 이야기
목적지 없이 흘러가는 저 소행성처럼
나도 그저 떠내려가고 있었어
어둠 속에 찾은 나의 모든 dream
새롭게 시작될 story
When I'm with you
There is no one else
I get heaven to myself
When I’m with you
There is no one else
I feel this way I’ve never felt
You and me
깨지지 않는 별처럼
너의 꿈이 되어
우주를 여행하는
어두운 길을 비춰주는 저 은하수처럼
너는 나를 향해 빛나고 있었어
어둠 속에 찾은 단 하나의 빛
너에게 향하는 나의 길
When I'm with you
There is no one else
I get heaven to myself
When I’m with you
There is no one else
I feel this way I never felt
I feel this way I never felt
Oh oh oh oh oh oh oh
When I'm with you
There is no one else
I get heaven to myself
When I’m with you
There is no one else
A life, a sparkle in your eyes
Heaven comin’ through
And I love you
And I love you
Oh oh oh oh oh oh oh"
71,Yet To Come,방탄소년단,"Was it honestly the best?
Cause I just wanna see the next
부지런히 지나온
어제들 속에
참 아름답게

Yeah the past was honestly the best
But my best is what comes next
I’m not playin’, nah for sure
그날을 향해
숨이 벅차게
You and I
best moment is yet to come
Moment is yet to come, yeah

다들 언제부턴가
말하네 우릴 최고라고
온통 알 수 없는 names
이젠 무겁기만 해
노래가 좋았다고
그저 달릴 뿐이라고
Promise that we’ll keep on coming back for more

너의 마음속 깊은 어딘가
여전한 소년이 있어
My moment is yet to come
Yet to come
(당신은 꿈꾸는가, 그 길의 끝은 무엇일까)
Moment is yet to come, yeah
(모두가 숨죽인 밤, 우린 발을 멈추지 않아)
Yet to come
(We gonna touch the sky, ‘fore the day we die)
Moment is yet to come, yeah
(자 이제 시작이야, the best yet to come)

언젠가부터 붙은 불편한 수식어
최고란 말은 아직까지 낯간지러워
난 난 말야 걍 음악이 좋은 걸
여전히 그때와 다른 게 별로 없는걸

아마 다른 게 별로 없다면
You’ll say it’s all a lie, yeah
난 변화는 많았지만
변함은 없었다 해
A new chapter
매 순간이 새로운 최선
지금 난 마치 열세 살
그때의 나처럼 뱉어
Huh

아직도 배울 게 많고
나의 인생 채울 게 많아
그 이유를 물어본다면
내 심장이 말하잖아
We ain’t about it 이 세상의 기대
We ain’t about it 최고란 기준의 step

(We ain’t about it)
왕관과 꽃, 수많은 트로피
(We ain’t about it)
Dream & hope & goin’ forward
(We so about it)
긴긴 원을 돌아 결국 또 제자리
Back to one

너의 마음속 깊은 어딘가
여전한 소년이 있어
My moment is yet to come
Yet to come
(당신은 꿈꾸는가, 그 길의 끝은 무엇일까)
Moment is yet to come, yeah
(모두가 숨죽인 밤, 우린 발을 멈추지 않아)
Yet to come
(We gonna touch the sky, ‘fore the day we die)
Moment is yet to come, yeah
(자 이제 시작이야, the best yet to come)

So was it honestly the best?
Cause I just wanna see the next
눈부시게 지나온
기억들 속에
참 아름답게

Yeah the past was honestly the best
But my best is what comes next
We'll be singin' till the morn
그날을 향해
더 우리답게
You and I
best moment is yet to come"
72,Permission to Dance,방탄소년단,"It’s the thought of being young
When your heart’s just like a drum
Beating louder with no way to guard it
When it all seems like it’s wrong
Just sing along to Elton John
And to that feeling, we’re just getting started

When the nights get colder
And the rhythms got you falling behind
Just dream about that moment
When you look yourself right in the eye, eye, eye
Then you say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance

There’s always something that’s standing in the way
But if you don’t let it faze ya
You’ll know just how to break
Just keep the right vibe yeah
‘Cause there’s no looking back
There ain’t no one to prove
We don’t got this on lock yeah

The wait is over
The time is now so let’s do it right
Yeah we’ll keep going
And stay up until we see the sunrise
And we’ll say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance

Da na na na na na na
Da na na na na na na
Da na na na na na na
No, we don’t need permission to dance

Da na na na na na na
Da na na na na na na
Da na na na na na na

Well let me show ya
That we can keep the fire alive
‘Cause it’s not over
Till it’s over say it one more time
Say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance"
73,Feel My Rhythm,Red Velvet (레드벨벳),"Red Velvet

무도회를 뒤집어
작은 소란을 또 일으켜
This is gonna be a crazy night
(To-na-na-na-na-na-night)

등장부터 인사까지 파격적이게
우리 살짝 놀아볼까
솔직하게 Bae bae
지금부터 시작해 볼게
(Feel my vibe and sway)

꽃가루를 날려
폭죽을 더 크게 터트려
우릴 오만과 편견에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

차는 Old and Classic
(Just ride)
이제 조금 낯선 다른 차원까지
(Get loud)
상상할 수 없던 곳 시간 속
예고 없이 등장해
이 밤은 멋지고 우린
Fun and wild and brave

시선을 끄는 네 Motion
G-give me a new direction
끝없는 Black hole처럼
빠져드는 Sweet emotion
너를 태운 채 (Sway)
어디로든 떠날래 (Way)
온 세상 모든 경계를
다 휘저을래 (Oh yeah)

꽃가루를 날려
(흩날려)
Champagne을 더 크게 터트려
(마음껏)
더는 어제와 내일에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

온 세상이 멈추는 순간
What a what a feeling
어서 내 손을 잡아
(All right)
본 적 없던 Film
빠져드는 You and I
Next time 시계를 돌려
어디로 가볼까
Come on 또다시 시작해
You and I

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 끝나지 않는 꿈
이 순간을 놓지 마 Baby"
74,MY BAG,(여자)아이들,"Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Uh oh I know you like it
My voice는 말해 뭐 해 God dang
Uh oh I just like it
태생부터 많은 Money 관심 없지

싸가지 없는 무대의 못된 범인의 눈빛
Fantasy란 말은 나를 빼고 다 금지
글러 먹은 너의 감 모두 나를 위한 밥
독한 Vibe sugar high 맛 좀 봐라 모두 Die

Rum-rum-rum Rumble 다 Crumble
이 Voice는 Drum에도 No lose
No no no lovely I’m Bumblebee
그냥 훅 들어갈 뿐 안 해 One, two

I never had 겁 a.k.a “Giant dog”
아차 하고 쓰다듬은 다쳐 이건 어쩜 범
I value my love 그만 두들겨 너
머리 빈 멍청이들과는 노는 물이 전혀 달라 Ye you know

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

가벼운 건 No no
공포에는 덤덤
나쁜 놈에겐 월월
덤벼봐라 Come come

I’m a cool lady 유일무이 캐릭
네가 벌벌 떠는 언니들 사이 Boss baby
넘치는 Jealousy
But that’s too early
내 피부부터 Young한 것은 언급하기도 귀찮네

존재가 Princess 어쩌면 범죄
넘치는 Bullet 맘을 관통해
향기는 Like rose and beautiful red
화가 난 가시의 그대 Blood ye

아직 읽지 않은 연락들은 앞으로도 읽지 않을 거니
헛된 희망들은 저기 버려두길
You know say no

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag"
75,그래서 그대는,이영현,"나는 나에게
길 들여지길 바래요
그동안 그댈 너무 많이
닮아 있었나 봐요
지워질 때도 됐는데
그댄 또 누군가에게 길들었나요
혹시 그 사람
예전 나완 많이 틀린가 봐요
그래서 그대는 날 잊고 사는지
내 아름다운 사람아
여전히 나는 니 모습인데
또 다른 사랑 배워갈 그대 가슴에
내 작은 기억 하나만
내 눈물 나는 사랑아
같은 아픔에 머물 수 있게
다른 이별에 울어도
내 품 안에서
그 마음 아물게 해요
내가 아닌 그대 행복한가요
혹시나 내 이름 벌써 잊었나요
내 아름다운 사람아
여전히 나는 니 모습인데
또 다른 사랑 배워갈
그대 가슴에
내 작은 기억 하나만
내 눈물 나는 사랑아
같은 아픔에 머물 수 있게
다른 이별에 울어도
내 품 안에서
그 마음 아물게 해요
내 작은 기억 하나만
내 눈물 나는 사랑아
같은 아픔에 머물 수 있게
다른 이별에 울어도
내 품 안에서
그 마음 아물게 해요
그 마음 아물게 해요"
76,신호등,이무진,"이제야 목적지를 정했지만
가려한 날 막아서네 난 갈 길이 먼데
새빨간 얼굴로 화를 냈던
친구가 생각나네
이미 난 발걸음을 떼었지만
가려한 날 재촉하네 걷기도 힘든데
새파랗게 겁에 질려 도망간
친구가 뇌에 맴도네
건반처럼 생긴 도로 위
수많은 동그라미들 모두가
멈췄다 굴렀다 말은 잘 들어
그건 나도 문제가 아냐
붉은색 푸른색 그 사이
3초 그 짧은 시간
노란색 빛을 내는
저기 저 신호등이
내 머릿속을 텅 비워버려
내가 빠른지도
느린지도 모르겠어
그저 눈앞이 샛노랄 뿐이야
솔직히 말하자면 차라리
운전대를 못 잡던 어릴 때가
더 좋았었던 것 같아
그땐 함께 온 세상을
거닐 친구가 있었으니
건반처럼 생긴 도로 위
수많은 조명들이 날 빠르게
번갈아 가며 비추고 있지만
난 아직 초짜란 말이야
붉은색 푸른색 그 사이
3초 그 짧은 시간
노란색 빛을 내는 저기 저 신호등이
내 머릿속을 텅 비워버려
내가 빠른지도
느린지도 모르겠어
그저 눈앞이 샛노랄 뿐이야
꼬질꼬질한 사람이나
부자 곁엔 아무도 없는
삼색 조명과 이색 칠 위에
서 있어 괴롭히지 마
붉은색 푸른색 그 사이
3초 그 짧은 시간
노란색 빛을 내는 저기 저 신호등이
내 머릿속을 텅 비워버려
내가 빠른지도
느린지도 모르겠어
그저 눈앞이 샛노랄 뿐이야"
77,strawberry moon,아이유,"달이 익어가니 서둘러 젊은 피야
민들레 한 송이 들고
사랑이 어지러이 떠다니는 밤이야
날아가 사뿐히 이루렴

팽팽한 어둠 사이로
떠오르는 기분
이 거대한 무중력에 혹 휘청해도
두렵진 않을 거야

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
나에게 너를 맡겨볼래 eh-oh

바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh

다시 마주하기 어려운 행운이야
온몸에 심장이 뛰어
Oh 오히려 기꺼이 헤매고픈 밤이야
너와 길 잃을 수 있다면

맞잡은 서로의 손으로
출입구를 허문
이 무한함의 끝과 끝 또 위아래로
비행을 떠날 거야

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
나에게 너를 맡겨볼래 eh-oh
바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh

놀라워 이보다
꿈같은 순간이 또 있을까 (더 있을까)
아마도 우리가 처음 발견한
오늘 이 밤의 모든 것, 그 위로 날아

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
세상을 가져보니 어때 eh-oh

바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh"
78,내 손을 잡아,아이유,"느낌이 오잖아

떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

어서 내 손을 잡아

우연히 고개를 돌릴 때 마다

눈이 마주치는 건

며칠 밤 내내 꿈속에 나타나

밤새 나를 괴롭히는 건

그 많은 빈자리 중에서 하필

내 옆자릴 고르는 건

나도 모르게 어느새 실없는 웃음

흘리고 있다는 건

그럼 말 다했지 뭐

우리 얘기 좀 할까

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

핸드폰 진동에

심장이 덜컥내려 앉는다는 건

오 나도 모르게

어느새 짓궂은 네 말투

자꾸 듣고 싶은걸

어떡해

저기 멀리 걸어온다

눈이 마주친다

언제까지 넌 모른척 할거니

사랑이 온거야 너와 나 말이야

네가 좋아 정말 못 견딜 만큼

그거면 된거야

더는 생각하지 말란 말이야

네 맘 가는 그대로

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

그냥 내 손을 잡아

지금 내 손을 잡아"
79,INVU,태연 (TAEYEON),"Falling in love
너에겐 난 Option
시작부터 다른 너와 나
깨지는 Heart
빗나간 네 Mention
익숙하거든

I think I lost my mind
But It’s my kind of love
아끼지 않고 다
쏟아내고는 주저앉아
문득 어느 순간
지친 내가 보여
애쓰고 있지만

So I can’t love you
Even though I do
밀어내 봐도
난 너를 못 이겨

날 버리고
날 잃을수록
넌 반짝이는 아이러니

So I N V U
I N V U
I N V U

기대지 마
기대하지도 마
몇 번을 되뇌고 되놰도
그 손길 한 번에
무너지는 날 볼 때
네 기분은 어때

I guess I lost my mind
Yeah It’s my kind of love
늘 처음인 것처럼
서툴러서 또 상처가 나
무뎌지기 전에
아물기도 전에
잔뜩 헤집어놔

So I can’t love you
Even though I do
밀어내 봐도
난 너를 못 이겨

날 버리고
날 잃을수록
넌 반짝이는 아이러니

So I N V U
I N V U
I N V U

식은 온기
부서진 맘이
자꾸 날 할퀴어
아파도 못 멈춰
So when you leave
Please make it easy
Cause I N V U

I N V U
I N V U
I N V U

I N V U"
80,통화연결음,"보라미유, MJ (써니사이드)","이 노래를 들어요 내 맘을 들어요
이제 두 번 다시
그대를 만날 수 없겠죠
아직 그대를
사랑하는 내 맘 보일까 봐
대신 이 노래를 전해요
사랑을 보내요
X-girl Friend 어떻게 지내
네 생각 나서
한잔 술에 깊어지는 이 맘
아직 도 궁금해
이 노랜 네가 듣지 않기를
전부 비워야 될 아픈 추억들
애틋하잖아 이별이 없던 것처럼
BABY 이름을 부르고
예전같이 널 안고 싶어
(아파 더이상 이러면 안돼
자꾸 네소식 보이잖아)
후회할까 봐서 그래
다시 내게 돌아와 줘
이 노래를 들어요 내 맘을 들어요
이제 두번 다시
그대를 만날 수 없겠죠
아직 그대를
사랑하는 내 맘 보일까봐
대신 이 노래를 전해요
사랑을 보내요
그대 전화기 너머로
이 노랠 듣고 있죠
어쩌면 나에게 전하는
마지막 인산 가요
010 4105 6739 지워야 될 번호
몇 번을 눌러봐도 소용없어
please i want you to call
듣지 못해 이젠
잘 지내 그 흔한 말도
한동안 나에게 이 노래가 아프겠죠
내 가슴 깊이 남겨질 상처가 되어
그대 나를 잊어요 전화를 끊어요
내가 그댈 먼저 보내야
다 끝이 나겠죠
그대 목소리 듣게 되면
나 흔들릴까 봐
대신 이 노래를 전해요
사랑을 보내요
이 노래를 들어요 내 맘을 들어요
이제 두 번 다시
그대를 만날 수 없겠죠
아직 그대를
사랑하는 내 맘 보일까 봐
대신 이 노래를 전해요
사랑을 보내요"
81,못해,김나영,"이제는 밥을 먹어도
눈물 없이는 삼키지 못해
억지로 먹고 먹어도 속이 늘 허전해
노래를 들어도 흥얼대지도 못해
영화를 봐도 내가 뭘 본 건지 기억 못해
밥도 잘 먹지 못해 네가 생각날까 봐
네 생각에 체할까 봐 네가 떠난 후로
오늘도 눈물로 하루를 먹고 살아
버스도 타지 못해 누가 날 욕할까 봐
우는 날 놀려댈까 봐 아무것도 못 해
너 없인 나 혼자 살지 못해
이제는 술을 마셔도
눈물 없이는 마시질 못해
아무리 병을 비워도 너만 더 생각해
살아서 뭐 해 넌 내 곁에 없는데
혼자 뭘 어째 아무것도 할 수 없는 난데
밥도 잘 먹지 못해 네가 생각날까 봐
네 생각에 체할까 봐 네가 떠난 후로
오늘도 눈물로 하루를 먹고 살아
버스도 타지 못해 누가 날 욕할까 봐
우는 날 놀려댈까 봐 아무것도 못 해
너 없인 나 혼자 살지 못해
너 없이 웃는 것도 난 못해
너 없이 걷는 것도 난 못해
아무것도 아무것도 못 해
내겐 네 사랑이 필요해
혼자 살아서 뭐 해
네가 더 잘 알잖아
너 없인 나 안 되잖아
너밖에 몰라서 너 없인
밥조차 먹지 못하는 나인데
차마 죽지도 못해
네가 돌아올까 봐 아무것도 못 해
오늘도 내일도 너만 원해"
82,드라마,아이유,"나도 한때는 그이의 손을 잡고
내가 온 세상 주인공이 된 듯
꽃송이의 꽃잎 하나하나까지
모두 날 위해 피어났지

올림픽대로 뚝섬 유원지
서촌 골목골목 예쁜 식당
나를 휘청거리게 만든
주옥같은 대사들

다시 누군가 사랑할 수 있을까
예쁘다는 말 들을 수 있을까
하루 단 하루만 기회가 온다면
죽을힘을 다해 빛나리

언제부턴가 급격하게
단조로 바뀌던 배경음악
조명이 꺼진 세트장에
혼자 남겨진 나는

단역을 맡은 그냥 평범한 여자
꽃도 하늘도 한강도 거짓말
나의 드라마는 또 이렇게 끝나
나왔는지조차 모르게

끝났는지조차 모르게"
83,Off My Face,Justin Bieber,"One touch and you got me stoned
Higher than I've ever known
You call the shots and I follow
Sunrise but the night still young
No words but we speak in tongues
If you let me I might say too much
Your touch blurred my vision
It's your world and I'm just in it
Even sober I'm not thinkin' straight
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
Can't sleep
'cause I'm way too buzzed
Too late now you're in my blood
I don't hate the way you keep me up
Your touch blurred my vision
It's your world and I'm just in it
Even sober I'm not thinkin' straight
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
Ooh-ooh-ooh ooh ooh ooh ooh
Ooh-ooh-ooh ooh ooh
Ooh-ooh-ooh ooh ooh ooh ooh
Ooh-ooh-ooh ooh ooh
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
By you ooh ooh ooh"
84,Next Level,aespa,"I’m on the Next Level Yeah
절대적 룰을 지켜
내 손을 놓지 말아
결속은 나의 무기
광야로 걸어가
알아 네 Home ground
위협에 맞서서
제껴라 제껴라 제껴라

상상도 못한 Black out
유혹은 깊고 진해
(Too hot too hot)
맞잡은 손을 놓쳐
난 절대 포기 못해

I’m on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라

La la la la la la
La la la la la la
La la la la la la
La la la la la

I see the NU EVO.
적대적인 고난과 슬픔은
널 더 Popping 진화시켜
That’s my naevis It’s my naevis
You lead, we follow
감정들을 배운 다음
Watch me while I make it out

Watch me while I work it out
Watch me while I make it out
Watch me while I work it out
Work it work it work it out

감당할 수 없는 절망도
내 믿음을 깨지 못해
더 아픈 시련을 맞아도
난 잡은 손을 놓지 않을게 Oh

절대로 뒤를 돌아보지 말아
광야의 것 탐내지 말아
약속이 깨지면
모두 걷잡을 수 없게 돼
언제부턴가 불안해져 가는 신호
널 파괴하고 말 거야
(We want it)
Come on!
Show me the way to KOSMO Yeah

Black Mamba가 만들어낸 환각 퀘스트
aespa, ae를 분리시켜놓길 원해 그래
중심을 잃고 목소리도 잃고 비난받고
사람들과 멀어지는 착각 속에
naevis 우리 ae, ae들을 불러봐
aespa의 Next Level “P.O.S”를 열어봐
이건 REAL WORLD 깨어났어
We against the villain
What’s the name?
Black Mamba

결국 난 문을 열어
그 빛은 네겐 Fire
(Too hot too hot)
난 궁금해 미치겠어
이다음에 펼칠 Story
Huh!

I’m on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라

I’m on the Next Level
더 강해져 자유롭게
Next Level
난 광야의 내가 아냐
Next Level
야수 같은 나를 느껴
Next Level
제껴라 제껴라 제껴라
Huh!"
85,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,"내가 슬플 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우린 동글동글

인생은 회전목마
우린 매일 달려가
언제쯤 끝나 난 잘 몰라

어머, 벌써 정신없이 달려왔어
Speed up 어제로 돌아가는 시곌 보다가
어려워 어른이 되어가는 과정이 Uh huh
On the road, 24 시간이 아까워 Uh huh
Big noise, Everything brand new
어렸을 때처럼 바뀌지 않는 걸
찾아 나섰단 말야 왜냐면 그때가 더 좋았어 난
So let me go back
타임머신 타고 I'll go back
승호가 좋았을 때처럼만

내가 슬플 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우리
인생은 회전목마
우린 매일 달려가
언제쯤 끝나 난 잘 몰라

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

어머 벌써 정신없이 달려왔어
Speed up 어제로 돌아가는 시곌 보다가
청춘까지 뺏은 현재
탓할 곳은 어디 없네
Twenty two 세에게 너무 큰 벽
그게 말로 하고 싶어도 어려웠어
가끔은 어렸을 때로 돌아가
불가능하단 건 나도 잘 알아
그 순간만 고칠 수 있다면
지금의 나는 더 나았을까

달려가는 미터기 돈은 올라가
기사님과 어색하게 눈이 맞아
창문을 열어보지만 기분은 좋아지지 않아
그래서 손을 밖으로 쭉 뻗어 쭉 뻗어
흔들리는 택시는 어느새
목적지에 도달했다고 해
방 하나 있는 내 집 안의
손에 있던 짐들은

내가 힘들 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우리
인생은 회전목마
우린 계속 달려가
언제쯤 끝날지 잘 몰라

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

I'm on a TV show
You would never even know
사실 얼마나 많이
불안했는지
정신없이 돌아서
어딜 봐야 할지 모르겠어
들리나요 여길 보란 말이

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마"
86,Girls,aespa,"일어나라 그대여
더 치명적인 전쟁 속에
두발로 버텨 적의 Hook!
Black Mamba
두렵지 않아 네가 Hoot!
부셔줄게
달라졌어 우리가
광야를 넘어 돌아올 때
일그러져 버렸던 æ
더 나답게
마치 하나처럼 보일
미친 존재감의 현신

다시 남겨진 불씨가
거대한 악으로 자라나서
무기력하게 널 고립시켜 둘 때
Reunite 우린 다시 함께
Whoo Whoo
덮쳐 Beat it Yah
넌 혼자가 아니야

빛났던 Sacrifice
기억 찾았다면
보여줄래? 나타나줄래?
지금 여기

따라와 (Bow down)
지켜봐 (My skill)
놀랄걸 (Say wow)
We coming
소리쳐 (Get loud)
들어봐 (My sound)
불러봐 (Upgrade)
We coming

혼돈 속에서 피어나
(We Them Girls)
두려움에 맞설 그런 용기
(Ah Yeah)
언제라도 우린 Together
We Them Girls
We Them Girls
We Them Girls

Meta Universe 공존해
지금 Parallel World
모든 존재가 의미를 가져
Part of my heart
우린 공감의 언어를 써
체온을 나눠 줘
결국 선한 의지만의
가치를 추구해

강해졌어 드디어 난
휘둘리거나 당하지 않아
왜곡이 돼버려 또 다
시작됐어 편을 갈라
너와 날 고립시켜 앞 못 보게

못된 욕망에 일그러져 버리던
Algorithm들이
존재를 무기로 파괴로
집어삼켜 Ah
그 순간 악은 시작됐어
Whoo Whoo
비켜 Flip Yah
난 혼자가 아니야

지켜주고 싶어
처음 만난 네 REKALL
안아줄게 느낄 수 있게
Without SYNK DIVE

따라와 (Bow down)
지켜봐 (My skill)
놀랄걸 (Say wow)
We coming
소리쳐 (Get loud)
들어봐 (My sound)
불러봐 (Upgrade)
We coming

혼돈 속에서 피어나
(We Them Girls)
두려움에 맞설 그런 용기
(Ah Yeah)
언제라도 우린 Together
We Them Girls
We Them Girls

평화로운 날을 맞이해
우린 FLAT 그 안에서
함께 웃고 사랑해
With my friends
이제 더 nævis와 함께
열어 갈 미래가 궁금해
결국 만나게 될 걸
nævis on the REAL MY WORLD

Hold up!
REAL MY WORLD

넌 거울에 비친 나
그보다 빛날 존재
말해 줄래?
언제까지나 함께란 걸

따라와 (Bow down)
지켜봐 (My skill)
놀랄걸 (Say wow)
We coming
소리쳐 (Get loud)
들어봐 (My sound)
불러봐 (Upgrade)
We coming

혼돈 속에서 피어나
(We Them Girls)
두려움에 맞설 그런 용기
(Ah Yeah)
언제라도 우린 Together
We Them Girls
We Them Girls
We Them Girls
Girls!"
87,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,"너무 걱정하지는 마
보란 듯이 살아 볼 거야
후회는 사치일 뿐이야
다시 시작해 볼게
나 어제 또 울었어
나 어제 또 슬펐어
왜 이런 바보를 사랑한 거니
네 마음이 예뻐서
네 사랑이 고마워
이젠 네 손을 잡고
다시 태어날 거야
바보도 사랑합니다
보내주신 이 사람
이제 다시는 울지 않을 겁니다
나 이제 목숨을 걸고
세상 아픔에서 지켜낼게요
이 사람을 사랑합니다
널 위한다는 그 이유로
너를 보낼 뻔했어
나 그렇게 바보야
넌 내 사랑 바보고
서로를 많이도 울게 했었지
네 사랑이 없다면
널 만날 수 없다면
아마 나는 평생을 후회하며 살 거야
바보도 사랑합니다
보내주신 이 사람
이제 다시는 울지 않을 겁니다
나 이제 목숨을 걸고
세상 아픔에서 지켜낼게요
이 사람을
널 위해 노력해 볼게
널 위해 살아갈게
나약한 마음 따윈 모두 버릴게
우리의 사랑을 위해
너의 손을 잡고 놓지 않을게
사랑하는 내 사랑 바보야"
